Name,Block,RoomId,Beds Available,Beds Taken,Beds Remaining,Location,Size,Vacancy Status,Price per bed,Price,Super Lisiting,Listing Id
Block 2 Room 16,2,16,2,0,2,First Floor,Small,EMPTY,5500,11000,prontohostel,1
Block 2 Room 17,2,17,2,2,0,First Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 2 Room 18,2,18,2,2,0,First Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 2 Room 19,2,19,2,2,0,First Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 2 Room 20,2,20,4,1,3,First Floor,Small,PARTIALLY BOOKED,2750,11000,prontohostel,1
Block 2 Room 21,2,21,2,2,0,First Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 2 Room 22,2,22,2,2,0,First Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 2 Room 23,2,23,4,0,4,First Floor,Small,EMPTY,2750,11000,prontohostel,1
Block 2 Room 24,2,24,3,3,0,Terrace,Small,FULLY BOOKED,3870,11610,prontohostel,1
Block 2 Room 25,2,25,2,0,2,Terrace,Small,EMPTY,5800,11600,prontohostel,1
Block 2 Room 26,2,26,4,0,4,Second Floor,Small,EMPTY,2750,11000,prontohostel,1
Block 2 Room 27,2,27,2,1,1,Second Floor,Small,PARTIALLY BOOKED,5500,11000,prontohostel,1
Block 2 Room 28,2,28,4,0,4,Second Floor,Small,EMPTY,2750,11000,prontohostel,1
Block 2 Room 29,2,29,4,1,3,Second Floor,Small,PARTIALLY BOOKED,2750,11000,prontohostel,1
Block 2 Room 30,2,30,2,1,1,Second Floor,Small,PARTIALLY BOOKED,5500,11000,prontohostel,1
Block 2 Room 31,2,31,2,1,1,Second Floor,Small,PARTIALLY BOOKED,5500,11000,prontohostel,1
Block 2 Room 32,2,32,4,0,4,Second Floor,Small,EMPTY,2750,11000,prontohostel,1
Block 2 Room 33,2,33,2,2,0,Second Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 2 Room 34,2,34,2,2,0,Second Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 2 Room 35,2,35,2,0,2,Second Floor,Small,EMPTY,5500,11000,prontohostel,1
Block 2 Room 36,2,36,3,3,0,Terrace,Small,FULLY BOOKED,3870,11610,prontohostel,1
Block 3 Room 1,3,1,4,4,0,Terrace,Small,FULLY BOOKED,2900,11600,prontohostel,1
Block 3 Room 2,3,2,2,0,2,Ground Floor,Small,EMPTY,5500,11000,prontohostel,1
Block 3 Room 3,3,3,3,3,0,Ground Floor,Small,FULLY BOOKED,3700,11100,prontohostel,1
Block 3 Room 4,3,4,2,0,2,Ground Floor,Small,EMPTY,5500,11000,prontohostel,1
Block 3 Room 5,3,5,4,1,3,Ground Floor,Small,PARTIALLY BOOKED,2750,11000,prontohostel,1
Block 3 Room 6,3,6,2,2,0,Ground Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 3 Room 7,3,7,2,2,0,Ground Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 3 Room 8,3,8,2,0,2,Ground Floor,Small,EMPTY,5500,11000,prontohostel,1
Block 3 Room 9,3,9,4,0,4,Ground Floor,Small,EMPTY,2750,11000,prontohostel,1
Block 3 Room 10,3,10,2,0,2,Ground Floor,Small,EMPTY,5500,11000,prontohostel,1
Block 3 Room 11,3,11,2,1,1,Ground Floor,Small,PARTIALLY BOOKED,5500,11000,prontohostel,1
Block 3 Room 12,3,12,3,3,0,Terrace,Small,FULLY BOOKED,3870,11610,prontohostel,1
Block 3 Room 13,3,13,2,0,2,Terrace,Small,EMPTY,5800,11600,prontohostel,1
Block 3 Room 14,3,14,4,1,3,First Floor,Small,PARTIALLY BOOKED,2750,11000,prontohostel,1
Block 3 Room 15,3,15,4,0,4,First Floor,Small,EMPTY,2750,11000,prontohostel,1
Block 3 Room 16,3,16,1,0,1,First Floor,Small,EMPTY,11000,11000,prontohostel,1
Block 3 Room 17,3,17,2,2,0,First Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 3 Room 18,3,18,2,2,0,First Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 3 Room 19,3,19,2,2,0,First Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 3 Room 20,3,20,4,0,4,First Floor,Small,EMPTY,2750,11000,prontohostel,1
Block 3 Room 21,3,21,2,2,0,First Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 3 Room 22,3,22,2,0,2,First Floor,Small,EMPTY,5500,11000,prontohostel,1
Block 3 Room 23,3,23,2,1,1,First Floor,Small,PARTIALLY BOOKED,5500,11000,prontohostel,1
Block 3 Room 24,3,24,2,2,0,Terrace,Small,FULLY BOOKED,5800,11600,prontohostel,1
Block 3 Room 25,3,25,2,2,0,Terrace,Small,FULLY BOOKED,5800,11600,prontohostel,1
Block 3 Room 26,3,26,2,0,2,Second Floor,Small,EMPTY,5500,11000,prontohostel,1
Block 3 Room 27,3,27,2,1,1,Second Floor,Small,PARTIALLY BOOKED,5500,11000,prontohostel,1
Block 3 Room 28,3,28,2,0,2,Second Floor,Small,EMPTY,5500,11000,prontohostel,1
