Name,Beds Available,Beds Taken,Block,RoomId,Super Listing,listingId,fullAmount,Location,Size,Vacancy Status,Price per bed,Price,Listing Id
A005,0,0,A,005,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0,1
A009,0,0,A,009,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0,1
A012,0,0,A,012,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0,1
A001,0,0,A,001,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0,1
A002,0,0,A,002,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0,1
A003,0,0,A,003,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0,1
A004,0,0,A,004,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0,1
A007,0,0,A,007,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0,1
A008,0,0,A,008,cuoldgirls,1,"1,800.00",N/A,N/A,N/A,0,0,1
A010,0,0,A,010,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0,1
A011,0,0,A,011,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0,1
A105,0,0,A,105,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0,1
A109,0,0,A,109,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0,1
A112,0,0,A,112,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0,1
A101,0,0,A,101,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0,1
A102,0,0,A,102,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0,1
A103,0,0,A,103,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0,1
A104,0,0,A,104,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0,1
A106A,0,0,A,106,cuoldgirls,1,"1,800.00",N/A,N/A,N/A,0,0,1
A106B,0,0,A,106B,cuoldgirls,1,"1,800.00",N/A,N/A,N/A,0,0,1
A107,0,0,A,107,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0,1
A108,0,0,A,108,cuoldgirls,1,"1,280.00",N/A,N/A,N/A,0,0,1
A110,0,0,A,110,cuoldgirls,1,"1,480.00",N/A,N/A,N/A,0,0,1
A111,0,0,A,111,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0,1
A205,0,0,A,205,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0,1
A209,0,0,A,209,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0,1
