Name,Beds Available,Beds Taken,Block,RoomId,Super Listing,listingId,fullAmount,Location,Size,Vacancy Status,Price per bed,Price,Listing Id,Level
A203,2,2,A,,cuoldgirls,1,-320,location,size,vacancystatus,0,0,1,400
A204,2,2,A,,cuoldgirls,1,20,location,size,vacancystatus,0,0,1,200
A204,2,2,A,,cuoldgirls,1,20,location,size,vacancystatus,0,0,1,100
A206A,2,2,A,,cuoldgirls,1,"1,800.00",location,size,vacancystatus,0,0,1,
A206A,2,2,A,,cuoldgirls,1,"1,800.00",location,size,vacancystatus,0,0,1,
A206B,2,2,A,,cuoldgirls,1,"1,800.00",location,size,vacancystatus,0,0,1,300
A206B,2,2,A,,cuoldgirls,1,"1,800.00",location,size,vacancystatus,0,0,1,
A007,3,3,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
A207,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
A207,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
A208,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,450
A208,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
A210,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
A210,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,400
A211,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
A211,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
A305,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,
A305,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,200
A305,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,100
A309,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,200
A309,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,300
A309,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,300
A312,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,200
A312,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,300
A312,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,300
A301,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,400
A301,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,300
A302,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,
A302,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
A303,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
A303,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
A304,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,
A304,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,300
A306A,2,2,A,,cuoldgirls,1,"1,800.00",location,size,vacancystatus,0,0,1,300
A306A,2,2,A,,cuoldgirls,1,"1,800.00",location,size,vacancystatus,0,0,1,300
A306B,2,2,A,,cuoldgirls,1,"1,800.00",location,size,vacancystatus,0,0,1,200
A306B,2,2,A,,cuoldgirls,1,"1,800.00",location,size,vacancystatus,0,0,1,
A307,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
A307,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
A308,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
A308,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
A310,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,
A310,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,3
A311,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,100
A311,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,300
ROOM NO.,3,3,R,,cuoldgirls,1,EXPTED,location,size,vacancystatus,0,0,1,
B001,3,3,B,,cuoldgirls,1,-80,location,size,vacancystatus,0,0,1,500
B001,3,3,B,,cuoldgirls,1,-80,location,size,vacancystatus,0,0,1,500
B001,3,3,B,,cuoldgirls,1,-80,location,size,vacancystatus,0,0,1,400
B002,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,400
B002,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,400
B002,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
B003,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
B003,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
B003,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
B004,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,450
B004,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
B004,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,100
B005,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
B005,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
B005,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
B006,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
B006,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
B006,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
B007,3,3,B,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,
B007,3,3,B,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,200
B007,3,3,B,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,300
B008,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,100
B008,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
B008,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,3
B101,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,400
B101,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,400
B101,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
B102,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
B102,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
B102,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
B103,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
B103,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
B103,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
B104,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,400
B104,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
B104,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,3
B105,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,400
B105,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
B105,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
B106,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
B106,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,500
B106,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,100
B201,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
B201,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
B201,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,100
B202,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
B202,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
B202,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
B203,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,3
B203,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
B203,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
B204,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,400
B204,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,400
B204,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
B205,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
B205,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
B205,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
B206,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
B206,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
B206,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
B301,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
B301,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
B301,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
B302,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,100
B302,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
B302,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
B303,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,450
B303,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
B303,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,3
B304,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
B304,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
B304,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
B305,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
B305,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,3
B305,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
B306,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,100
B306,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,100
B306,3,3,B,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,100
ROOM NO.,3,3,R,,cuoldgirls,1,EXPTED,location,size,vacancystatus,0,0,1,
C101,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,100
C101,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,400
C101,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
C102,4,4,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
C102,4,4,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
C102,4,4,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
C103,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,100
C103,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
C103,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
C104,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
C104,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
C104,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
C105,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
C105,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
C105,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,100
C201,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
C201,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,400
C201,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
C202,2,2,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
C102,4,4,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
C202,2,2,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
TV Room,8,8,T,,cuoldgirls,1,680,location,size,vacancystatus,0,0,1,200
TV Room,8,8,T,,cuoldgirls,1,680,location,size,vacancystatus,0,0,1,100
TV Room,8,8,T,,cuoldgirls,1,680,location,size,vacancystatus,0,0,1,300
TV Room,8,8,T,,cuoldgirls,1,680,location,size,vacancystatus,0,0,1,200
C203,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
C203,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,100
C203,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,400
C204,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,500
C204,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
C204,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
C205,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
