Name,Beds Available,Beds Taken,Block,RoomId,Super Listing,ListingId,fullAmount,Location,Size,Vacancy Status,Price per bed,Price,Listing Id
A005,3,0,A,005,cuoldgirls,1,"  3,170.00 ",,size,False,"  3,170.00 ","  3,170.00 ",1
A009,3,0,A,009,cuoldgirls,1,"  3,170.00 ",,size,True,"  3,170.00 ","  3,170.00 ",1
A012,3,0,A,012,cuoldgirls,1,"  3,170.00 ",,size,False,"  3,170.00 ","  3,170.00 ",1
A001,2,0,A,001,cuoldgirls,1,"  3,560.00 ",,size,False,"  3,560.00 ","  3,560.00 ",1
A002,2,0,A,002,cuoldgirls,1,"  3,560.00 ",,size,False,"  3,560.00 ","  3,560.00 ",1
A003,2,0,A,003,cuoldgirls,1,"  3,560.00 ",,size,False,"  3,560.00 ","  3,560.00 ",1
A004,2,0,A,004,cuoldgirls,1,"  3,560.00 ",,size,False,"  3,560.00 ","  3,560.00 ",1
A007,3,0,A,007,cuoldgirls,1,"  3,560.00 ",,size,False,"  3,560.00 ","  3,560.00 ",1
A008,2,0,A,008,cuoldgirls,1,"  3,600.00 ",,size,False,"  3,600.00 ","  3,600.00 ",1
A010,2,0,A,010,cuoldgirls,1,"  3,560.00 ",,size,False,"  3,560.00 ","  3,560.00 ",1
A011,2,0,A,011,cuoldgirls,1,"  3,560.00 ",,size,False,"  3,560.00 ","  3,560.00 ",1
A105,3,0,A,105,cuoldgirls,1,"  3,170.00 ",,size,False,"  3,170.00 ","  3,170.00 ",1
A109,3,0,A,109,cuoldgirls,1,"  3,170.00 ",,size,False,"  3,170.00 ","  3,170.00 ",1
A112,3,0,A,112,cuoldgirls,1,"  3,170.00 ",,size,False,"  3,170.00 ","  3,170.00 ",1
A101,2,0,A,101,cuoldgirls,1,"  3,560.00 ",,size,False,"  3,560.00 ","  3,560.00 ",1
A102,2,0,A,102,cuoldgirls,1,"  3,560.00 ",,size,False,"  3,560.00 ","  3,560.00 ",1
A103,2,0,A,103,cuoldgirls,1,"  3,560.00 ",,size,False,"  3,560.00 ","  3,560.00 ",1
A104,2,0,A,104,cuoldgirls,1,"  3,560.00 ",,size,False,"  3,560.00 ","  3,560.00 ",1
A106A,2,0,A,106,cuoldgirls,1,"  3,600.00 ",,size,False,"  3,600.00 ","  3,600.00 ",1
A106B,2,0,A,106B,cuoldgirls,1,"  3,600.00 ",,size,False,"  3,600.00 ","  3,600.00 ",1
A107,2,0,A,107,cuoldgirls,1,"  3,560.00 ",,size,False,"  3,560.00 ","  3,560.00 ",1
A108,2,0,A,108,cuoldgirls,1,"  3,560.00 ",,size,False,"  3,560.00 ","  3,560.00 ",1
A110,2,0,A,110,cuoldgirls,1,"  3,560.00 ",,size,False,"  3,560.00 ","  3,560.00 ",1
A111,2,0,A,111,cuoldgirls,1,"  3,560.00 ",,size,False,"  3,560.00 ","  3,560.00 ",1
A205,3,0,A,205,cuoldgirls,1,"  3,170.00 ",,size,False,"  3,170.00 ","  3,170.00 ",1
A209,3,0,A,209,cuoldgirls,1,"  3,170.00 ",,size,False,"  3,170.00 ","  3,170.00 ",1
A212,3,0,A,212,cuoldgirls,1,"  3,170.00 ",,size,False,"  3,170.00 ","  3,170.00 ",1
A201,2,0,A,201,cuoldgirls,1,"  3,560.00 ",,size,False,"  3,560.00 ","  3,560.00 ",1
A202,2,0,A,202,cuoldgirls,1,"  3,560.00 ",,size,False,"  3,560.00 ","  3,560.00 ",1
A203,2,0,A,203,cuoldgirls,1,"  3,560.00 ",,size,False,"  3,560.00 ","  3,560.00 ",1
A204,2,0,A,204,cuoldgirls,1,"  3,560.00 ",,size,False,"  3,560.00 ","  3,560.00 ",1
A206A,2,0,A,206,cuoldgirls,1,"  3,600.00 ",,size,True,"  3,600.00 ","  3,600.00 ",1
