Name,Beds Available,Beds Taken,Block,RoomId,Super Listing,ListingId,fullAmount,Location,Size,Vacancy Status,Price per bed,Price,Listing Id
A209,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A209,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A212,3,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,585.00",0,1
A212,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A212,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A201,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A201,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A202,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A202,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A203,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,-320,0,1
A203,2,0,A,,cuoldgirls,1,-640,CENTRAL UNIVERSITY,size,False,"1,780.00",-640,1
A204,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,20,0,1
A204,2,0,A,,cuoldgirls,1,40,CENTRAL UNIVERSITY,size,False,"1,780.00",40,1
A206A,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,True,"1,800.00",0,1
A206A,2,0,A,,cuoldgirls,1,3600,CENTRAL UNIVERSITY,size,True,"1,800.00",3600,1
A206B,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,800.00",0,1
A206B,2,0,A,,cuoldgirls,1,3600,CENTRAL UNIVERSITY,size,True,"1,800.00",3600,1
A007,3,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,800.00",0,1
A207,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A207,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A208,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A208,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A210,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A210,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A211,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A211,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A305,3,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,True,"1,585.00",0,1
A305,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A305,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A309,3,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,585.00",0,1
A309,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A309,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A312,3,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,585.00",0,1
A312,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A312,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A301,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A301,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A302,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A302,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A303,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A303,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,320,3560,1
A304,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A304,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A306A,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,800.00",0,1
A306A,2,0,A,,cuoldgirls,1,3600,CENTRAL UNIVERSITY,size,False,"1,800.00",3600,1
A306B,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,800.00",0,1
A306B,2,0,A,,cuoldgirls,1,3600,CENTRAL UNIVERSITY,size,True,"1,800.00",3600,1
A307,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A307,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A308,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A308,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A310,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,True,"1,780.00",0,1
A310,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A311,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A311,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
ROOM NO.,3,0,R,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,EXPTED,0,1
B001,3,0,B,,cuoldgirls,1,#VALUE!,CENTRAL UNIVERSITY,size,False,-80,#VALUE!,1
B001,3,0,B,,cuoldgirls,1,-160,CENTRAL UNIVERSITY,size,False,"1,320.00",-160,1
B001,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B002,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
B002,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B002,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B003,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
B003,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B003,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B004,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
B004,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B004,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B005,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,True,"1,320.00",0,1
B005,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B005,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,True,"1,320.00",2640,1
B006,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,True,"1,320.00",0,1
B006,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B006,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B007,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,True,"1,585.00",0,1
B007,3,0,B,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,320.00",3170,1
B007,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B008,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
B008,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B008,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B101,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
B101,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B101,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B102,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
B102,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B102,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,True,"1,320.00",2640,1
B103,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,True,"1,320.00",0,1
B103,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,360,2640,1
B103,3,0,B,,cuoldgirls,1,720,CENTRAL UNIVERSITY,size,False,"1,320.00",720,1
B104,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
B104,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B104,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B105,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
B105,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B105,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B106,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
B106,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B106,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B201,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,True,"1,320.00",0,1
B201,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B201,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B202,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
B202,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B202,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B203,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
B203,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,True,"1,320.00",2640,1
B203,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B204,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
B204,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B204,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B205,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
B205,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B205,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B206,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
B206,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B206,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,True,"1,320.00",2640,1
B301,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
B301,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B301,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,520,2640,1
B302,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
B302,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B302,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,True,"1,320.00",2640,1
B303,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
B303,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,True,"1,320.00",2640,1
B303,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B304,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
B304,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B304,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B305,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
B305,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B305,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B306,3,0,B,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
B306,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
B306,3,0,B,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
ROOM NO.,3,0,R,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,EXPTED,0,1
C101,3,0,C,,cuoldgirls,1,#VALUE!,CENTRAL UNIVERSITY,size,False,"1,320.00",#VALUE!,1
C101,3,0,C,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
C101,3,0,C,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
C102,4,0,C,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,True,"1,320.00",0,1
C102,4,0,C,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
C102,4,0,C,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
C103,3,0,C,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
C103,3,0,C,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
C103,3,0,C,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,True,"1,320.00",2640,1
C104,3,0,C,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
C104,3,0,C,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
C104,3,0,C,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
C105,3,0,C,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
C105,3,0,C,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
C105,3,0,C,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
C201,3,0,C,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,320.00",0,1
C201,3,0,C,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
C201,3,0,C,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,True,"1,320.00",2640,1
C202,2,0,C,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,True,"1,320.00",0,1
C102,4,0,C,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
C202,2,0,C,,cuoldgirls,1,2640,CENTRAL UNIVERSITY,size,False,"1,320.00",2640,1
TV Room,8,0,T,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,680,0,1
