name,bedsAvailable,block,roomId,fullAmount,superListing,listingId
D102,2,D,102,0,cuoldgirls,1,"1,780.00"
D103,2,D,103,0,cuoldgirls,1,"1,780.00"
D105,2,D,105,0,cuoldgirls,1,"1,780.00"
D106,2,D,106,0,cuoldgirls,1,"1,780.00"
D107,2,D,107,0,cuoldgirls,1,"1,800.00"
D107B,2,D,107B,0,cuoldgirls,1,"1,800.00"
D109,2,D,109,0,cuoldgirls,1,"1,780.00"
D110,2,D,110,0,cuoldgirls,1,"1,780.00"
D111,2,D,111,0,cuoldgirls,1,"1,780.00"
D112,2,D,112,0,cuoldgirls,1,"1,780.00"
D201,3,D,201,0,cuoldgirls,1,"1,585.00"
D204,2,D,204,0,cuoldgirls,1,"1,585.00"
D208,3,D,208,0,cuoldgirls,1,"1,585.00"
D202,2,D,202,0,cuoldgirls,1,780
D203,2,D,203,0,cuoldgirls,1,"1,780.00"
D205,2,D,205,0,cuoldgirls,1,"1,780.00"
D206,2,D,206,0,cuoldgirls,1,"1,780.00"
D207A,2,D,207A,0,cuoldgirls,1,"1,800.00"
D207B,2,D,207B,0,cuoldgirls,1,"1,800.00"
D209,2,D,209,0,cuoldgirls,1,"1,780.00"
D210,2,D,210,0,cuoldgirls,1,"1,780.00"
D211,3,D,211,0,cuoldgirls,1,"1,780.00"
D212,1,D,212,0,cuoldgirls,1,"1,780.00"
D301,3,D,301,0,cuoldgirls,1,"1,585.00"
D304,3,D,304,0,cuoldgirls,1,"1,585.00"
D308,3,D,308,0,cuoldgirls,1,"1,585.00"
D302,2,D,302,0,cuoldgirls,1,"1,780.00"
D303,2,D,303,0,cuoldgirls,1,"1,780.00"
D305,2,D,305,0,cuoldgirls,1,"1,780.00"
D306,2,D,306,0,cuoldgirls,1,"1,780.00"
D307A,2,D,307A,0,cuoldgirls,1,"1,800.00"
D307B,2,D,307B,0,cuoldgirls,1,"1,800.00"
D309,2,D,309,0,cuoldgirls,1,"1,780.00"
D310,2,D,310,0,cuoldgirls,1,"1,780.00"
D311,2,D,311,0,cuoldgirls,1,"1,780.00"
D312,2,D,312,0,cuoldgirls,1,"1,780.00"
