Name,Beds Available,Beds Taken,Block,RoomId,Super Listing,listingId,fullAmount,Location,Size,Vacancy Status,Price per bed,Price
B301,0,0,B,301,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
B302,0,0,B,302,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
B303,0,0,B,303,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
B304,0,0,B,304,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
B305,0,0,B,305,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
B306,0,0,B,306,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
C101,0,0,C,101,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
C102,0,0,C,102,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
C103,0,0,C,103,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
C104,0,0,C,104,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
C105,0,0,C,105,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
C201,0,0,C,201,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
C202,0,0,C,202,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
TV Room,0,0,T,V Room,cuoldgirls,1,680,N/A,N/A,N/A,0,0
C203,0,0,C,203,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
C204,0,0,C,204,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
C205,0,0,C,205,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
C301,0,0,C,301,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
C302,0,0,C,302,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
C303,0,0,C,303,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
C304,0,0,C,304,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
C305,0,0,C,305,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
D001,0,0,D,001,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
D004,0,0,D,004,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
D008,0,0,D,008,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
D002,0,0,D,002,cuoldgirls,1,"1,280.00",N/A,N/A,N/A,0,0
D003,0,0,D,003,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D005,0,0,D,005,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D006,0,0,D,006,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D007A,0,0,D,007A,cuoldgirls,1,"1,800.00",N/A,N/A,N/A,0,0
D007B,0,0,D,007B,cuoldgirls,1,"1,800.00",N/A,N/A,N/A,0,0
D009,0,0,D,009,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D010,0,0,D,010,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D011,0,0,D,011,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D012,0,0,D,012,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D101,0,0,D,101,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
D104,0,0,D,104,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
D108,0,0,D,108,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
D102,0,0,D,102,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D103,0,0,D,103,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D105,0,0,D,105,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D106,0,0,D,106,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D107,0,0,D,107,cuoldgirls,1,"1,800.00",N/A,N/A,N/A,0,0
D107B,0,0,D,107B,cuoldgirls,1,"1,800.00",N/A,N/A,N/A,0,0
D109,0,0,D,109,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D110,0,0,D,110,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D111,0,0,D,111,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D112,0,0,D,112,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D201,0,0,D,201,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
D204,0,0,D,204,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
D208,0,0,D,208,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
D202,0,0,D,202,cuoldgirls,1,780,N/A,N/A,N/A,0,0
D203,0,0,D,203,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D205,0,0,D,205,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D206,0,0,D,206,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D207A,0,0,D,207A,cuoldgirls,1,"1,800.00",N/A,N/A,N/A,0,0
D207B,0,0,D,207B,cuoldgirls,1,"1,800.00",N/A,N/A,N/A,0,0
D209,0,0,D,209,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D210,0,0,D,210,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D211,0,0,D,211,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D212,0,0,D,212,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D301,0,0,D,301,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
D304,0,0,D,304,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
D308,0,0,D,308,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
D302,0,0,D,302,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D303,0,0,D,303,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D305,0,0,D,305,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D306,0,0,D,306,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D307A,0,0,D,307A,cuoldgirls,1,"1,800.00",N/A,N/A,N/A,0,0
D307B,0,0,D,307B,cuoldgirls,1,"1,800.00",N/A,N/A,N/A,0,0
D309,0,0,D,309,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D310,0,0,D,310,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D311,0,0,D,311,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
D312,0,0,D,312,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
